split,color_norm,noise,denoise,psnr,ssim,rmse,mse
test,reinhard,gaussian,gaussian,12.319535706067716,0.6458067496391915,65.71701245629858,4686.65279827635
test,reinhard,gaussian,median,12.282535470436988,0.6138120011727971,65.87270931280305,4705.262638627125
test,reinhard,gaussian,nlmeans,12.346230587237708,0.5928927426074451,65.37430885602704,4639.669296658269
test,reinhard,gaussian,none,12.184457840414513,0.5359312767441774,65.96141579705589,4700.230533610534
test,reinhard,none,gaussian,12.278774154189334,0.6874315089923053,66.23252028742036,4761.118566935016
test,reinhard,none,median,12.334277422664503,0.6995462022154342,66.03077455146128,4735.722158448888
test,reinhard,none,nlmeans,12.2617444275423,0.5868158084776955,65.9843194132117,4723.042706459155
test,reinhard,none,none,12.795490103528998,0.8000439844965536,65.14473099003091,4633.263085515422
test,reinhard,saltpepper,gaussian,12.280762636190302,0.5539594482662508,65.48572486113066,4641.615256377873
test,reinhard,saltpepper,median,12.319150171126843,0.6953711858685161,66.08143118177813,4741.529256330377
test,reinhard,saltpepper,nlmeans,11.543818731994932,0.38677400215218055,69.70610493308794,5145.965690636719
test,reinhard,saltpepper,none,11.45209601845366,0.4063568674977024,70.38116253240949,5238.329022480425
train,gray_world,gaussian,gaussian,23.053191059592642,0.7868535987960246,19.58447223216777,451.8950771907781
train,gray_world,gaussian,median,23.01300787964856,0.7397875739787269,19.715864150375452,459.18540035362463
train,gray_world,gaussian,nlmeans,23.75250684886193,0.7717316774920359,18.29054628225884,405.0568267044902
train,gray_world,gaussian,none,22.410851110577045,0.6199624550613416,20.612633267692686,487.6820400126942
train,gray_world,none,gaussian,23.359869463659297,0.8448613741525278,19.131385006057116,438.1374984617975
train,gray_world,none,median,23.793141482777813,0.8576526857204816,18.59541909908492,424.65883826313734
train,gray_world,none,nlmeans,24.119358284578844,0.794938703522785,17.691518933678857,383.44799696893153
train,gray_world,none,none,26.878710510938234,0.9701098774811221,15.080833714964335,332.36284924752215
train,gray_world,saltpepper,gaussian,22.08152361769068,0.6633834059392615,21.310177804677334,512.3082047396066
train,gray_world,saltpepper,median,23.643972119314824,0.8528478131606185,18.81372037528289,431.718870344104
train,gray_world,saltpepper,nlmeans,18.384862635806254,0.4898689742454193,31.113544620050934,995.7639702247179
train,gray_world,saltpepper,none,17.841212023976638,0.4815158662424161,33.108897545006954,1126.8689128524643
train,hist_match,gaussian,gaussian,16.823802098370283,0.6497675659735745,39.60279317122327,1761.1850971172469
train,hist_match,gaussian,median,16.611088062505576,0.5993399969366587,40.495272705393724,1839.7210996906322
train,hist_match,gaussian,nlmeans,16.757548069679313,0.647273898939975,39.98029325740602,1803.9887101335698
train,hist_match,gaussian,none,16.349871399747265,0.5054968188874709,41.21504633612167,1880.4440389203007
train,hist_match,none,gaussian,16.92440053261686,0.6925080072905206,39.248512455966285,1732.1130120918906
train,hist_match,none,median,16.733945106888626,0.6825950788747509,40.18631360891184,1819.9276299592186
train,hist_match,none,nlmeans,16.767257307820827,0.6373487567599645,39.92252381946637,1797.8426174269166
train,hist_match,none,none,inf,0.7688758264487503,38.65864882726899,1708.6541758581013
train,hist_match,saltpepper,gaussian,16.612585661902298,0.5574382548904347,40.19116747533127,1793.114331167976
train,hist_match,saltpepper,median,16.711257779063786,0.6785981178412972,40.25310271140449,1824.425715161603
train,hist_match,saltpepper,nlmeans,15.181283845113187,0.404493358525384,45.99267935235557,2257.7986959929017
train,hist_match,saltpepper,none,14.713515559413336,0.38519243960669164,48.18203766035194,2447.6494421236475
train,none,gaussian,gaussian,27.976902377020327,0.8060186550575412,10.834146842941275,132.01905238092152
train,none,gaussian,median,27.81037870116002,0.7596205834206694,10.940436152661304,133.17409157539998
train,none,gaussian,nlmeans,29.093669398339443,0.7903608591787168,9.275459657447678,91.36994337256019
train,none,gaussian,none,26.199914729581348,0.6384250458443563,12.492571534613154,156.14019024056407
train,none,none,gaussian,28.936489959559186,0.8658642627418327,9.99172201651117,116.77335811728335
train,none,none,median,30.170573091542114,0.8805914131074133,8.95243932078163,98.57616518027733
train,none,none,nlmeans,29.86727533460242,0.8100522070284448,8.592915746658427,80.56267433501078
train,none,none,none,inf,1.0,0.0,0.0
train,none,saltpepper,gaussian,25.67711521149283,0.6772745039968087,13.621587826370057,195.9992842015272
train,none,saltpepper,median,29.765489555421926,0.8758478223417282,9.30204016123014,105.29538616977868
train,none,saltpepper,nlmeans,19.92418517904069,0.5062319772049647,25.798925977511104,669.403709388756
train,none,saltpepper,none,19.08195839187586,0.49540668798556725,28.37449756969102,806.9215850501832
train,reinhard,gaussian,gaussian,17.050399587776507,0.6529868119181124,39.54006235209208,1817.1382155987762
train,reinhard,gaussian,median,16.987613262369265,0.6126461475160455,39.626210374012985,1816.8350397557872
train,reinhard,gaussian,nlmeans,17.0570334757185,0.6415189112095843,39.48186445773857,1816.9391991848067
train,reinhard,gaussian,none,16.693070325408,0.5167152823219624,40.27650220775126,1846.4802059140377
train,reinhard,none,gaussian,17.13008141628072,0.6988055886578656,39.30387054546379,1797.0349715351583
train,reinhard,none,median,17.230701183162907,0.7132122165032335,38.89165473409166,1760.9880851807955
train,reinhard,none,nlmeans,17.012083692316235,0.6220296360389536,39.6050634434041,1821.7560405265076
train,reinhard,none,none,17.953961508282358,0.8223322200474883,37.662043217241205,1679.8917509169844
train,reinhard,saltpepper,gaussian,16.74624802028045,0.5527253871373072,40.38263922983062,1864.2871013788772
train,reinhard,saltpepper,median,17.205472845669203,0.7099778358996369,38.96065354435459,1765.4973853796284
train,reinhard,saltpepper,nlmeans,15.322695305438286,0.4046408914126834,45.638804354875276,2260.826577289007
train,reinhard,saltpepper,none,14.869527460089682,0.38825152981396044,47.61582720921391,2420.8095617256367
