split,image,color_norm,noise,denoise,psnr,ssim,rmse,mse
train,103041,none,none,none,inf,1.0,0.0,0.0
train,103041,none,none,gaussian,31.99098409011922,0.9258964116412316,6.411962532262074,41.11326351513267
train,103041,none,none,median,33.450987871107074,0.9428978269358513,5.4198939251886555,29.37525016029689
train,103041,none,none,nlmeans,30.15010764289377,0.7918132818930316,7.925648330036823,62.81590145141547
train,103041,none,gaussian,none,26.068773337533145,0.5654145646566121,12.679482060057556,160.7692653113214
train,103041,none,gaussian,gaussian,30.702832615096195,0.8565245259906136,7.437013154775569,55.30916466430485
train,103041,none,gaussian,median,30.180326328007162,0.7982529072719892,7.898122475754658,62.38033864202089
train,103041,none,gaussian,nlmeans,30.263449883529162,0.8003798782462298,7.822898334800016,61.19773835661686
train,103041,none,saltpepper,none,19.429427179724044,0.420049810224006,27.23132801226522,741.5452253115805
train,103041,none,saltpepper,gaussian,27.720563390888554,0.713281129515047,10.483637868287513,109.90666295339193
train,103041,none,saltpepper,median,32.977985855531195,0.9389714772414126,5.723225893189391,32.755314624473506
train,103041,none,saltpepper,nlmeans,20.622526350552373,0.44548886624198003,23.73634594135676,563.4141186477635
train,103041,reinhard,none,none,28.628633555360455,0.9311885939831854,9.442967667312011,89.16963836590004
train,103041,reinhard,none,gaussian,27.033026206923406,0.8648991209286424,11.347204193605553,128.75904301137945
train,103041,reinhard,none,median,27.384133399926665,0.8781207188503913,10.897666432973956,118.75913368436733
train,103041,reinhard,none,nlmeans,26.134630631863914,0.7222564423134635,12.583708485083788,158.3497192375697
train,103041,reinhard,gaussian,none,24.260444382952457,0.5518536566697279,15.614136126262999,243.80124696947126
train,103041,reinhard,gaussian,gaussian,26.666659657946052,0.823219998678811,11.836061076330342,140.09234180262217
train,103041,reinhard,gaussian,median,26.33663763682911,0.758316111894509,12.294427169411655,151.15293942396747
train,103041,reinhard,gaussian,nlmeans,26.35871614646462,0.7540160189928514,12.263215866421964,150.3864633864634
train,103041,reinhard,saltpepper,none,19.036610854094338,0.396973553832163,28.4911275984027,811.744351828464
train,103041,reinhard,saltpepper,gaussian,25.55153556195128,0.6861072134320866,13.45746944212495,181.10348378572678
train,103041,reinhard,saltpepper,median,27.253740578632396,0.8744884093152252,11.062496632465825,122.37883174331772
train,103041,reinhard,saltpepper,nlmeans,20.468491728718842,0.42375375955722916,24.161038311860153,583.7557723071742
train,103041,gray_world,none,none,34.67508890413045,0.9977403751714947,4.707450209810454,22.16008747784449
train,103041,gray_world,none,gaussian,30.148981174740676,0.9243154599956318,7.926676269576295,62.83219668266397
train,103041,gray_world,none,median,31.034027506264596,0.9409563375545639,7.158776522200583,51.24808129481027
train,103041,gray_world,none,nlmeans,28.98607859579232,0.7897882405298841,9.062254418879032,82.12445515249253
train,103041,gray_world,gaussian,none,25.50961791976149,0.5647832567771849,13.522571438124874,182.85993829919065
train,103041,gray_world,gaussian,gaussian,29.266972648758816,0.8553430855584055,8.773877125461441,76.98091981269552
train,103041,gray_world,gaussian,median,28.873665119979364,0.7971050428442377,9.18030107458268,84.2779278199839
train,103041,gray_world,gaussian,nlmeans,29.04130615554695,0.7985782087639257,9.00481661313849,81.08672223625494
train,103041,gray_world,saltpepper,none,19.380625688225535,0.42158692248024626,27.38475728213721,749.9249314015669
train,103041,gray_world,saltpepper,gaussian,27.096383162996908,0.7153124802806222,11.264736109377164,126.89427961390578
train,103041,gray_world,saltpepper,median,30.746196999411172,0.9367427188454344,7.399976328127402,54.759649656845916
train,103041,gray_world,saltpepper,nlmeans,20.45230894203225,0.44502167611393545,24.20609499615897,585.9350349630723
train,103041,hist_match,none,none,24.66486940049466,0.8983513833381251,14.903789583056653,222.12294393602804
train,103041,hist_match,none,gaussian,24.5047301090344,0.871379049058247,15.18111516900748,230.466257774669
train,103041,hist_match,none,median,24.22470772802704,0.8669466631218435,15.678510241871466,245.81568340446844
train,103041,hist_match,none,nlmeans,24.292688692434353,0.7890666615240306,15.5562797968967,241.99784111933644
train,103041,hist_match,gaussian,none,22.23919938677699,0.5347741073921821,19.705171140751176,388.29376968629305
train,103041,hist_match,gaussian,gaussian,24.173862958059523,0.8110295457046849,15.77055700336705,248.7104681964495
train,103041,hist_match,gaussian,median,23.792721254396177,0.7511947200100278,16.47798555140825,271.52400783241904
train,103041,hist_match,gaussian,nlmeans,24.320972859845146,0.8002015076856456,15.505705724529118,240.42691001569506
train,103041,hist_match,saltpepper,none,18.293386924856854,0.3969041247748455,31.03636382007027,963.255879171767
train,103041,hist_match,saltpepper,gaussian,23.57122528506236,0.6854745258908954,16.903588673130194,285.7313100303754
train,103041,hist_match,saltpepper,median,24.162813440400708,0.8623870601556402,15.79063185356142,249.34405433470855
train,103041,hist_match,saltpepper,nlmeans,19.549582178549535,0.44228065391672505,26.85722091631408,721.3103153476985
train,104022,none,none,none,inf,1.0,0.0,0.0
train,104022,none,none,gaussian,30.090991127195732,0.8701765924842325,7.979774596527276,63.67680261138205
train,104022,none,none,median,30.628670806922976,0.8828148209361948,7.50078366871977,56.26175564493322
